,Tweets,Numeric Labels,Label
995,این چه رسمیه که هفته بعد امتحان از هر هفته ای تو ایام امتحان ها فشارش بیشتره …,1,Sad
996,نشود فاش آنچه میان منو توست…,4,Intense Emotions
997,بچه هاا بیاید گلریزان کنید من ادکلنم تموم شد برم بخرمش😂😂😂😂😂😂😂,0,Happy
998,یادم بندازید بعدا یه چیز بگم بهتون,3,Neutral
999,عیب نداره عزیزم اون دنیا میبینمت,4,Intense Emotions
1000,چه‌ها فردا روز خیلی نحسیه.,1,Sad
1001,تولدت مبارک آقای صدا.,4,Intense Emotions
1002,به خرج معاویه بهترین تعبیر بود,0,Happy
1003,واقعا جای یک کانال نقد و بررسی لوازم خونگی توی یوتیوب کمه :))))))),0,Happy
1004,امروز عید گوشت خواران و مشت محکمی بر دهان یاوه‌گویان گیاه‌خواره. بریم کبابی سریع,0,Happy
1005,عنوان مقاله : بررسی کورولیشن اهنگهای معین و روحیه,0,Happy
1006,من حال هوایی زدن ندارم نیاز باشه مستقیما توهین می‌کنم خدا رو شکر هنوز قسمت کسی نشده,0,Happy
1007,یادش بخیر یه معلم تربیت بدنی داشتیم بزرگوار نه تربیت خوبی داشت نه بدن خوبی,0,Happy
1008,گل نه ضرر جسمی داره نه اعتیاد 🤡🤡🤡🤡,0,Happy
1009,ازدواج زوال عقل میاره.,0,Happy
1010,براح. توی برنامه‌ی ریسرچم این بود که برم واشکوت مبدل رو از مواد دو بعدی تولید کنم و بهینه سازی انجام بدم روی کار.,3,Neutral
1011,خب با این کار کاسبی ما رو دارین کساد می‌کنین.,1,Sad
1012,یعنی چی خودروی الکتریکی رو فراگیر کنیم؟ بیناموس انتهای کار من به موتور درون‌سوز ختم میشه؛ گه میخوری که میخوای این چیزا رو مد کنی.,2,Angry
1013,این توییت رو سیو کنین می‌تونه یک دایره‌المعارف کاملی از علائم احتمالی ابتلا به زوال عقل باشه.,0,Happy
1014,بیاین یک لیست از چیزهایی درست کنیم که انجام دادنشون احتمال زوال عقل رو بالا می‌بره؛ مثل باشگاه بدنسازی رفتن یا پزشکی خوندن.,0,Happy
1015,تحصیل توی دانشکده‌ی مهندسی شیمی و نفت.,3,Neutral
1016,از امروز با افتخار عضو این کامیونیتی هستم.🙏,0,Happy
1017,سلام دوستان وقت‌تون به‌خیر. کسی کد دعوت بلوجاب نداره؟,0,Happy
1018,به‌علاوه اینکه شرک توی دانشگاه رایس درس‌داده و به ترمودینامیک مسلطه و بچه‌های دانشکده خیلی دوستش دارن.,0,Happy
1019,ریکام‌های خوبی هم می‌نویسه تازه.,0,Happy
1020,شرک خونه داره و به نظافتش اهمیت میده، روزانه حموم میکنه، هنرمنده و نقاشی میکنه، آشپزی دوست داره، مسافرت میره، دل رئوفی داره ولی به هرکسی نشونش نمیده، علاقه‌مند به تشکیل خانوادست.,0,Happy
1021,بنظر من شرک یک مرد رویاییه.,0,Happy
1022,"بعد از یک‌سال دوباره برگشتم پژوهشگاه و واقعاً زمان چقدر سریع می‌گذره. :"")",0,Happy
1023,بالاخره وارزون ریختم و واقعا روی pc معرکه‌ست.,0,Happy
1024,بچه‌هایی که این ترم با عسکری‌پور دارن بعد از انجام پروژه:,3,Neutral
1025,۸ لیوان آب بخور. قبل سکس گارداسیل بزن و بعدشم گتسبی کن.,0,Happy
1026,چیزه، میگم اگه خواستین با همین آیدی توییترم توی بلواسکای داشته‌باشیم هم رو.🏃‍♂️,0,Happy
1027,آدرس کارخونه‌ش کجاست؟ کمپ آشویتس؟,3,Neutral
1028,الان سایبری‌ها و حراستی‌ها دارن در به در دنبال لینک بلو اسکای میگردن از داستان عقب نیوفتن:)),0,Happy
1029,مشکل اینجاست که عمده‌ی دانشجوهای ارشدی که کارشناسی جای دیگه بودن سیس خر دانا برای ما می‌گیرن درحالی که دوزار از نظر علمی بارشون نیست. این رو توی برخوردهای چندساله متوجه شدم. بعد همین آدما هم بعد یکی دوسال اعتراف می‌کنن که نه ادعامون واقعا زیاد بود.,2,Angry
1030,تموم شد. فقط صفحه‌ی تقدیر و تشکر موند. :)),0,Happy
1031,دقت کردین لوگوی شریف و بانک کشاورزی چقدر شبیهه؟,0,Happy
1032,پسر چه حس عجیبی دارم. رهایی نسبی از همه‌چیز. تازه هنوز فارغ هم نشدم!,0,Happy
1033,حمید جان خفه شو لطفا,2,Angry
1034,من همیشه تو زندگیم از جنده‌های نمره بدم میومد. بعد الان فهمیدم دارم خودم کم‌کم یکی از همونا میشم. خیلی از دوستام هم دارن همینجوری میشن😭😭,1,Sad
1035,بریم لینکداین با چهار تا آدم حسابی کانکت شیم و تجربه‌هاشون رو ببینیم. آدم حسابی‌های لینکداین:,0,Happy
1036,۵ صبح این شکلیه پس,3,Neutral
1037,اسپین اف زندگی خانم شیرزاد رو میخوام.,0,Happy
1038,چه فایده؟ با تو که نیست.,1,Sad
1039,من دیگه چیزی ندارم، باشه برای بعدا 🤣🤣🤣,0,Happy
1040,عزیزم این دنیا هم دیگه نمیبینمت حالا بیافت دنبالم,1,Sad
1041,به همه کسایی که نمیشناسنت حسودیم میشه,4,Intense Emotions
1042,خیلی ممنونم 💃💃🙏💃,0,Happy
1043,یزدیا مثل یهودیا تو امریکا شدن.,3,Neutral
1044,دوست داشتن یواشکی چیه بابا؛ من اگه بروزش ندم می‌ترکم واقعا.,4,Intense Emotions
1045,خلاقیت چرا باید کاپل باشه؟,0,Happy
1046,انقدر خوابم میاد که یه پلک دیگه بزنم چشمام تا ۱۲ ساعت دیگه بسته می‌مونه.,1,Sad
1047,کصکشا وایسادن تو ورودی های مترو به حجاب گیر میدن و مثلا از ورود افراد بی‌حجاب جلوگیری میخوان بکنن.,2,Angry
1048,وای حوصله‌م. :(,1,Sad
1049,یعنی نصفه شبیم پنجره رو باز کنی بوی گل قراره خفت کنه :/,1,Sad
1050,سیب زمینی های قشنگم🥲,0,Happy
1051,دارم نابود می‌شم از نخوابیدن و همچنان نمی‌خوابم. تا ۶ صبح مغشوش خیره به سقف اتاق. سردرد سردرد سردرد.,1,Sad
1052,خیلی خوشگل آخهههه 🚬😍,4,Intense Emotions
1053,استفاده از اموجی عقاب هم زوال عقل میاره ظاهرا,0,Happy
1054,«نه به امید کسی، نه به انتظار از دیگری»,1,Sad
1055,ز ماه جدید قشنگ باید یه سال خودمو تارک دنیا کنم.,1,Sad
1056,نمی‌دانم شب چندم بود که از ته دل آرزو کردم که ای کاش دیگر بیدار نشم,1,Sad
1057,هیچکسی جز خودت غم و دردت رو نمیفهمه و ابعادش رو نمیتونه درک کنه. پس روی غمات ماله بکش.,1,Sad
1058,آخه زن تو دقیقا چه غلطی داری میکنی که یه ماهه نمره ها رو نزدی؟ خسته شدیم بابا.,2,Angry
1059,عین چی واسه فردا صبح استرس دارم🫠🥱,1,Sad
1060,کیرم دهنت ایلان جان 💘,2,Angry
1061,تردز/ثردز همون توییتر واسه فک و فامیل و آشنا موشناهاست که توش جوک های شوهرعمه‌ای شیر کنی😃,0,Happy
1062,نود درصد روز چشمام توی لپتاپه و گاها شده که چشمام درد گرفته یا سرم در حال منفجر شدنه. ایده‌ای چیزی دارین برای جلوگیری از این وضع؟,1,Sad
1063,به احتمال خیلی قوی توی زندگی قبلیم داخل دهه ۷۰-۹۰ بدنیا اومده بودم و اگرنه اینکه این همه آهنگای modern talking به گوشم آشنا باشه واقعا بی‌سابقست :))))),0,Happy
1064,آقا اگه کد بلواسکای دارین تیریخیدا به ما هم بدین :(,1,Sad
1065,ای کپه مرگ پدرسگت رو بزار که صبح کلی کار داری. دو ساعت دیگه هم هوا روشنه. اه,2,Angry
1066,واقعا تنها آرزویی که در حال حاضر دارم اینه که یه شغل داشته باشم و دستم توی جیب خودم باشه. مرحله بعدی عوض کردن گوشیمه که داره نفسای آخرش رو میکشه.,0,Happy
1067,یه «منِ سختگیر» از خودم توی ذهنم ساختم که هر چیزی که فکر میکنه واسم خوبه رو بهم دیکته میکنه در حالیکه خودم شاید دلم بخواد وقتمو تلف کنم اما اون نمیزاره.,1,Sad
1068,هر موقع میرم این شهر نزدیکمون یاد همکلاسیم میفتم که بهش پیشنهاد دادم و اون رد کرد. عین یه هوس شده. دلم هواش رو میکنه ولی ذهن و منطقم اون رو پس میزنه.,0,Happy
1069,یه موقع یادم میره اینستامو دی‌اکتیو کردم. تلگرام رو هم چک کردم سگ پر نمیزد. توییتر هم که هیچی نداره. قشنگ «در وطن خویش، غریب» شده وصف من :))),1,Sad
1070,خب بعد از روغن پابم حالا باید چک کنیم ببینیم توی ترکیبات چیزایی که میخوریم اسپارتام نباشه یا نه.,3,Neutral
1071,خب اینستاگرام رو هم دی‌اکتیو کردم و برو که بریم واسه راند دوم دیجیتال دیتاکسم.,0,Happy
1072,بالاخره از شر امتحانا ازاد شدم :)))))),0,Happy
1073,واقعا جلوی خودمو گرفتم امروز که از کوره در نرم. اون از داروچی فکستنی که واسه خوندن دو قلم دارو نیم ساعت وقت منو هدر داد. اینم از راننده اتوبوس کسکش که تا تک‌تک صندلیا پر نشد راه نیفتاد. بمیرید اه.,2,Angry
1074,الان توی این چند روز دو تا پروژه زدم و دو میلیون تومن پول درآوردم. به قول این مریم مجیدی‌نژاد که میگه وقتی کار کنی اولین درآمدت رو در بیاری و مزه پول‌درآوردن بیاد زیر دندونت دیگه بیخیال نمیشی. الان دقیقا من همونم :))))),0,Happy
1075,الهی خراب بشه این مملکت و دانشگاه که ساعت هفت صبح امتحان گذاشتن,2,Angry
1076,عکسهای فارِغ التحصیلی بچههای ۹۷ کامپ شریف رو دیدم و خیلی غصه خوردم. با اینکه شانس حضور در اون اتمسفر رو نداشتم اما همیشه خودم رو جزوی از اون جمع می‌دونستم ولی خب زندگی برای ما جور دیگه‌ای رقم خورد…,1,Sad
1077,نه جدا من این صدایی که میاد رو درست می‌شنوم یا توهم زدم؟ اذان از کی تا حالا شده ساعت سه و نیم صبح؟ این ادا تنگا رو درآوردن چه صیغه‌ایه🥱🫣,1,Sad
1078,آقا اصن بحث اینه که امروزه باید تو بالاترین پرفورمنس کار کنی و بسته به اون فشار کاری که وجود داره اینجاست که داروهای اعصاب و روان به داد طرف میرسن که بتونه عین ماشین کار کنه ولی عوارضش گاییده شدن زندگی و احساسات بشریته :))),1,Sad
1079,جدا باورم نمیشه فیروز نادری در عرض یه هفته فلج بشه و بعد بمیره. تو شوکم!,1,Sad
1080,بابا بخدا داغون میکنه ادم رو,1,Sad
1081,پناه کسی بودن هم یه جور پناه بردنه. و چه زیباست,4,Intense Emotions
1082,اقا من پوستم شفاف شد. تعزیرات چقدر خوب دهن این مادرجنده‌ها رو میگائه. :))))),0,Happy
1083,پیر شدن اینه که دیگه دنبال هیچکسی توی بازدیدای استوری اینستا نیستی. حتی اونی که سه سال پیش خیلی دوسش داشتی و این اواخر فالوت کرده هم برات مهم نیست...,1,Sad
1084,امروز رفتم ساختمون اداری دانشگاه که کارم رو راه بندازن. در کمتر از ده دقیقه کارمو راه انداختن و همه چی اوکی شد. پششششششششمام.🤣🤣🤣🤣,0,Happy
1085,امروز واقعا بدترین روزی بود که می‌تونست باشه. یه ساعت مونده به تموم شدن ددلاین تمرین من اومدم اینو با لتک بزنم و هی وسطش فیلترشکن قطع و وصل می‌شد. واقعا به زیبایی مورد عنایت قرار گرفتم :)))),1,Sad
1086,ناراحت کننده ترین چیزی که امروز شنیدم این بود که سر بحث من با داداشم که بهش گفتم برنامه نویسیت رو خوب کن تا بتونی بعدا اپلای کنی و در اومد بهم گفت که ما اینقدر پول نداریم که بتونیم بریم خارج. [اینجا فوکوس بحث روی هزینه وثیقه سربازی بود] و من هیچ حرفی نداشتم بهش بگم…,1,Sad
1087,واقعا وقتی به این فکر میکنم که فردا ساعت ۵ عصر قراره میانترم حضوری بدم و فردا صبحشم ساعت ۱۰ یه میانترم دیگه دارم، قلبم به درد میاد.🥹🫠🫣,1,Sad
1088,به آرین داشتم می‌گفتم تو این دو هفته فلان بعد بچه اینجوری شد که چی؟ فقط دو هفته گذشته؟ 😟😦😦,1,Sad
1089,این ترم که کلا خیلی نگران نمره نبودم احتمالا قراره مشروط شم👍,1,Sad
1090,پشمام چه‌قدر قشنگه,0,Happy
1091,خوشحالممممممممممممممممممم😍😍😍🧘🏻‍♀️🐈‍⬛🐈‍⬛😍🐣🧘🏻‍♀️🐈‍⬛😢👍🏻👉💃🏻🐣💃🏻😘🧘🏻‍♀️😘😘😍💃🏻😍🧘🏻‍♀️😍🧘🏻‍♀️,0,Happy
1092,لطفا یکی با من برنامه‌ی تافل خوندن تنظیم کنه. واقعا نیاز.,4,Intense Emotions
1093,تاکسیک ریلیشن شیپ جدیدم رابطم با تیم لیدمه 🌝🌝💅💅,0,Happy
1094,چرا تو تایم لاینم همه دکتر پوست شدن🌝🌝,3,Neutral
1095,فروردین🥲,0,Happy
1096,معنی استقلالو عوض کرد کلا 😂,0,Happy
1097,روانشناس 💔🥲,1,Sad
1098,اگه جعفری تا زمان اپلای نمره ها رو نده شیرینی میدم ☺️,0,Happy
1099,من امروز دیلیو نمیام🌝😂,0,Happy
1100,وای همه اینایی ک ایشون گف واقعاا🌝,0,Happy
1101,امروز واقعا ۱۰۰/۱۰ بود خاشحالمم,0,Happy
1102,حراست باغ کتاب بهم گف شالتو سرت کن🌝🤗,1,Sad
1103,تابستون کوتاهه؟ بیناموس دلقک😭😭😭,2,Angry
1104,انتظار سلطون‌علی تو روغن هم غیر قانونیه تو این مملکت.,0,Happy
1105,به ددی گفتم پولام داره تموم میشه اکانت بورسمو گرفت برداشت زد برام😇,0,Happy
1106,این کامنتا که موقع ریلز دیدن میاد واقعا عالیه، درست کردی آقای زاکربرگیون.,0,Happy
1107,متاسفانه بقیه به جز اولین‌ها قربانی میشن.,1,Sad
1108,من خسته شدم انقد از دست همه ناراحت شدم,1,Sad
1109,کاش جرئت کنم برم عذرخواهی کنم.,4,Intense Emotions
1110,من واقعا نمی‌دونم چرا ولی خیلی خیلی بی‌حوصله شده‌م. باید چی‌ کار کنم؟,1,Sad
1111,انقدر پول کادو دادم که به من سراغ من اگر می‌آیی تیرماهی نباش دوست عزیز.🌷,0,Happy
1112,عزیزم ببین محبت من خشک شده افتاده ولی تو مراقب خودت باش.,4,Intense Emotions
1113,کلم کیریه نزدیکم نشید,2,Angry
1114,ساختمان پزشکان رو باید ریواچ کرد واقعا.,0,Happy
1115,چرا اسرائیل حمله نمی‌کنه که من ۸ صبح تابستون مجبور نباشم بیدار شم.,0,Happy
1116,تنهاااام نذار اصلاااا😭😭😭😭,1,Sad
1117,من خیلی محتواهای رندوم و بدون هیچ هدف و مفهومی رو می‌پسندم,0,Happy
1118,به خدا تابستون باید ترمیم داشته باشه. گه خوردم.,1,Sad
1119,عجب گهی خوردم این آزها رو تابستون برداشتم,1,Sad
1120,#ERROR!,0,Happy
1121,به نظر من که همه‌تون بیشعورید که وطنتون رو ترک کردید,1,Sad
1122,برای من این مسئله خیلی بدیهی بود تا دیدم در اکثر جمع‌های خانوادگی ملت خایه‌مال ترامپن. نمیفهمیدم واقعا طرف چه سودی براشون داشت که انقدر خایه‌مالی می‌کردن براش.,0,Happy
1123,دوستان بنده اگه گیم رو بیست شوم به مقدار زیادی نفر شام میدم,0,Happy
1124,خیلی خوب پارک کردم برام دست بزنید,0,Happy
1125,در ادامه‌ی این: دیوونه نصف کونت بیرونه شوهر خاله‌ت میمونه,0,Happy
1126,بله به این معنیه که من باید خودمو بکشم.,1,Sad
1127,«به مشکلی که هنوز پیش نیومده فکر نکن»,3,Neutral
1128,خوبه که همینجوری میگی دربارم💆🏻,0,Happy
1129,دایرکت اینستام ریپلای دار شده ولی دایرکتی نمی‌گیرم.,1,Sad
1130,حوصله عکاسی ندارم. لطفا لبخند نزنید.,1,Sad
1131,با تعریف کردن از همدیگه حال هم رو خوب کنید ♥️,0,Happy
1132,دیگه حس می‌کنم دوستم ندارید. خداحافظ.,1,Sad
1133,لان من بگم قشنگ نمیخونه دعوام میکنید؟,1,Sad
1134,واقعا دقیق:)))),0,Happy
1135,منم در بهترین حالت یهویی از تختم میام بیرون.,0,Happy
1136,خب دونه دونه بیاین ازتون خدافظی کنم,1,Sad
1137,اگه تو هم فهمیدی کدوم فیلمه تو دوست خوب منی,0,Happy
1138,و تماااام🥳🥳🥳,0,Happy
1139,بخاطر گرما دیوونه شده دیگه منطقیه 😂😂😂,0,Happy
1140,پولداراها همه چیزشون با ماها فرق داره.,3,Neutral
1141,خانومی برای سکس خوب یه مملکت رو به فنا داد.,0,Happy
1142,عزیزم خودت ردفلگی.,1,Sad
1143,بر شیطان لعنت.,2,Angry
1144,وقتی منو اذیت میکنید این کسیه که اذیت میکنید,1,Sad
1145,خسته از حرفای قلمبه سلمبه,1,Sad
1146,این جشن تعیین جنسیت از کجا شروع شد جدی؟ قبل تولد با کلیشه صولتی آبی بادکنک تهیه می‌کنن. نتیجه هم هرچی باشه عین احمقا دست و جیغ و هورا می‌کشن😦,2,Angry
1147,نمیتونم زید رو از لحاظ مزه با چیزی مقایسه کنم واقعا.,4,Intense Emotions
1148,۸ تومن دستی بدین بهم این کیفه‌رو بخرم.,3,Neutral
1149,من ذوق دارم واسه صعود آخر هفته.,4,Intense Emotions
1150,همه بیشتر توییت‌هارو از تلگرام کپی میکنن؟😂😂😂😂😂😂,0,Happy
1151,دوست‌پسرم بیشتر تخت رو گرفته بود اومدم پاهامو تکیه دادم به کمرش هلش دادم بره اونورتر ولی خودم از اون طرف پرت شدم پایین. اونجا فهمیدم که از فیزیک اندازه خر‌ بارم نیست.,0,Happy
1152,شیش متر پریدم هوا ریدم به خودم با جیغ بعدش فهمیدم سر گوجه است,0,Happy
1153,هرکی خوشحاله از قدیم خوشحاله.,0,Happy
1154,اولین حمومش بود 😂,0,Happy
1155,احمدرضا احمدی درگذشت,3,Neutral
1156,امروز صبح یدونه از این برچسب تبلیغاتیا دیدم نوشته بود: لیزر کل بدن ۲۹٠ هزار تومن! فکر کنم بجای دستگاه لیزر از سنگ فرز استفاده میکنن,0,Happy
1157,یعنی تف تو ۲۰۶. با سرعت ۱۰ تا زدم به سپر عقب طرف، خواننده های توی فلشمم مردن😐😂,0,Happy
1158,سوراخ مماخ این کوچولو روزمو ساخت :)))),0,Happy
1159,اگه وارد دنیای رنگی شدن اینه، ترجیح میدم یه افسرده تو همین دنیای تاریک بمونم,1,Sad
1160,یه رفیق دارم توی دفتر ازدواج و طلاق کار میکنه. تعریف میکرد میگفت عجیب ترین مورد طلاقی که دیده بوده این بود که خانم ، طلاق میخواسته، چون شوهرش زیاد گاز و نیشگون میگرفته از زنه😂,0,Happy
1161,آقا مظفر چه میکنی با خودت؟:))))),0,Happy
1162,تو دیگه اینقد وفاداری که خوش به حال همسر آیندت =)))),4,Intense Emotions
1163,‏رانندگیتون کم شخمیه گوشی‌های شخمی‌تون رو هم دستتون میگیرین وسط رانندگی؟,2,Angry
1164,دختره گفت تو تایپت چیه گفتم تایپ C بلاکم کرد. فکر کنم خودش آیفون داشت,0,Happy
1165,حالا که بعد از ۱۵ ساعت بهم جواب داد منم ۳۲ ثانیه منتظرش میذارم 😈,0,Happy
1166,کولر خونه وقتی جلوش میشینم چای میخورم:,0,Happy
1167,‏همون لحظه که میخوای ببینی زیرنویس با فیلم هماهنگه یا نه همه بازیگرا تو همه سکانسها که دست میذاری روشون لالن,0,Happy
1168,دیگه انقدر کسی از ترس الکل نمی‌گیره ساقیا به دریوزگی افتادن.,0,Happy
1169,دروس عمومی‌ مگه برای بالا بردن معدل نبود چرا افتادم=))),0,Happy
1170,دیگه یاد گرفتن کوسه سواری تنها راه مهاجرتیه که برام باقی مونده,0,Happy
1171,کدوم دیوثی اینو گذاشته بود لب جدول؟؟؟ بیضه‌هام اومد دهنم :)))))))),0,Happy
1172,به دوست پسرم گفتم واسه باشگاه برام برنامه بنویسه ۸۰ درصدش اسکاته😂😂😂,0,Happy
1173,یجوری ریدم که آلمان هیچی، افغانستانم ویزا نمیده بهم😔💔,1,Sad
1174,با لباس زمستونی تو خیابون میچرخید گرمتون میشه بعد فحششو به تابستون میدید؟!,1,Sad
1175,خوشگلی یه چیز خِرَدسوزیه پدسسسگ...,4,Intense Emotions
1176,جدی جدی حرصم میگیره که آدمای حرومزاده و لاشی تو روابطشون موفقن و ما ساده ها همش داریم به فنا میریم,2,Angry
1177,ای کاش این رو نمیدیدم😓,4,Intense Emotions
1178,گربه‌م که ۶ سال پیش بخاطر FIP فوت کرد.,1,Sad
1179,بزرگتری که بزرگتری کردن بلد نیست فقط مسن تره. الزاما لایق و قابل احترام نیست.,3,Neutral
1180,اگه بخوام از شانسم بگم:ریپلای اینستاگرام بصورت عمومی برای همه فعال شده ولی بازم برای من فعال نشده:)))))),0,Happy
1181,مردادیا در انتظار شروع مرداد😂,0,Happy
1182,بچم پرسید اسم بابا بزرگت چی بود؟ گفتم اکبر غش کرد از خنده گفت مثل اکبر جوجه :))))))),0,Happy
1183,اینارو دیدم، کودکیم درد گرفت.,1,Sad
1184,از تلخی این عکس هر چقد بگم، کم گفتم::))),1,Sad
1185,بحث کردن با خانواده هیچوقت برام عادی نمیشه، هربار عصبانی، بی انرژی و شکسته میشم.,1,Sad
1186,شدیم یسری پکیج ویژه که توش پر از حسرتای مختلفه!,1,Sad
1187,احساس غریبی نکنید همه‌مون شبا ناراحتیم.,1,Sad
1188,بگین که تنها نیستم :))))),0,Happy
1189,رابطه تاكسيک فقط منو بابام :))))),0,Happy
1190,کی لواشک دوست داشت؟ :)))))))),0,Happy
1191,اون‌جایی که با یک انسان جدید لاس می‌زنی و حالت بد نمی‌شه یعنی از فاز عزاداری خارج و وارد فاز نباشی دوستات و پدرت هستن شدی.🧘🏻‍♀️,0,Happy
1192,پشمام چقدر خوشگل‌تر شده اصلا نشناختم😦,4,Intense Emotions
1193,استفاده‌ی زیادی از کلمه‌ی ادایی خودش اداییه :))),0,Happy
1194,بابام واقعا دیکتاتور باحالیه😂🤌🏻,0,Happy
1195,واقعا عموهای فیتیله‌ای بامزه بودن,0,Happy
1196,شلوغه و آدم کیری زیاد داره,2,Angry
1197,بخاطر ادبیات کپشنش احترامم به شیلا بیشتر شد.,0,Happy
1198,تمام فید اینستام شده ویدیوی قل خوردن بطری رو پله,0,Happy
1199,راجع به اون جونا هیل‌ هم که گفتن، یارو دختره قبل این موج‌سوار بوده و از این سبک عکسا می‌ذاشته. مردی وقتی می‌دونسته و وارد رابطه می‌شه و بعد چند وقت شروع می‌کنه برای درخواست تغییر دختره، هرچه‌قدر هم مودبانه بگه کارش تعرض به شخصیت و روان دختره‌ست خیلی واضحه,1,Sad
1200,وا حالا چرا من انقدر هنوز دلتنگشون می‌شم. چه وضعشه.,1,Sad
1201,آقا یک دنیا چشم‌نواز,0,Happy
1202,بگایی پشت بگایی. یکم دیر فهمیدم🥲,1,Sad
1203,با این همه اتفاق کیری که داره میوفته، امسال سال سلطان نیست,1,Sad
1204,این مادر دیوانه یجوری اعتماد به نفس دخترشو گاییده که میخوام گریه کنم,1,Sad
1205,انسان‌های عصبانی و همیشه ناراضی داخل باسنم نمی‌روند,1,Sad
1206,نمونه‌ای از سلامت روانیم,0,Happy
1207,امروز همه کیرم کردند. در تنهایی خودم میسوزم.,1,Sad
1208,اینم قطعی شد و خیلی خوشحالم💃💃💃,0,Happy
1209,من کارآموزی نرفتم:(,1,Sad
1210,این خانومه هم منو کیر خودش کرده‌ها,1,Sad
1211,داداش ما این همه دعوا کردیم و کون همو گاز گرفتیم که بیای بگی میشه یه فرصت دیگه بهم بدی سنیوررریتا؟,2,Angry
1212,مرسی از همه دوستانی که توی این نظرسنجی شرکت کردن.‌ مردِ ایرانی داستان ما خودش دایرکت داد. فکر کنم توییتم اینقدر وایرال شد که به دستش رسید، کامنت‌هاتون رو خوند‌ و به عنوان یک‌ انسان از عقلش استفاده کرد تا تصمیم‌ بگیره حرف کی درسته. اون عکس لختشم از پروفایلش برداشته 😂😂,0,Happy
1213,حالت عادی با قیافه‌م در صلحم، حوصله آرایش روزمره هم ندارم ولی به محض بیرون اومدن سرم از سوراخ تنگ مقنعه انواع عیوب ذاتی و اکتسابی نمایان میشن. حس می‌کنم مژه‌هام کمه، دماغم باید عمل شه، فکم باید بیاد جلوتر و پوستم به اندازه کافی خوب نیست. چه کثافتیه آخه 🐖,1,Sad
1214,آخه خیلی خنده‌داره یه چیز سیاه که گردی صورتت ازش میاد بیرون و همه تمرکز می‌ره رو اون.,0,Happy
1215,اونایی که می‌گفتم آرایش در زنان ایرانی بیشتر از بقیه جاهای دنیاست هم دوبار گاییدم. منطقیه با این پوشش کسشر بیشتر آرایش کنن 🔪,2,Angry
1216,بچه‌ها ولی جدی معیار من اینه که پوششی که باهاش لب ساحل در ملاعام میری برای پست کردن هم اوکی‌ئه دیگه. مردها با شورتک و خانم‌ها با بیکینی. لباس این خانمی هم از بیکینی پوشیده‌تر بود. نمی‌فهمم واقعا.,1,Sad
1217,سلیقه شخصی هم که میگین تا حالا دیدین زنی به خاطر عکس با شورتک با پارتنرش کات کنه؟ احتمال زیاد نه.,1,Sad
1218,ولی برعکسش تا دلتون بخواد بوده و وقتی سلیقه شخصی یکی سکسیست‌طوره از نظر من بیخوده.,1,Sad
1219,تازه یارو باید قبل رابطه می‌رفت دنبال زن modest، نه اینکه بره با یه داف خوشگل بعد گه بخوره.,2,Angry
1220,منم خوردم اینو. مردن که نمردم. دریغ از یک شکم‌درد🐴,0,Happy
1221,لطفاً به صورت تصویری همون خوردن خربزه با عسل رو فیلم بگیر برامون تا ببینیم هیچ مشکلی نداره. حرف که باد هواست، کنتور نمیندازه.,0,Happy
1222,کتاب‌ صوتی‌های منتخبم در اسپاتیفای پولیه. گریه می‌کنم. کتاب‌های صوتی. هرچی.,1,Sad
1223,این همه حساسیت رو این به مولا خنده‌داره. مگه اینکه داماد کوری چیزی باشه می‌ترسین هرکی با لباس سفید دید رو بگیره بکنه.,0,Happy
1224,من تصمیم دارم توی عروسی همه دوستام با یه لیوان آب آلبالو دم در وایسم هرکی با لباس سفید وارد شد همون اول کار ناک‌اوتش کنم,0,Happy
1225,من اینو در ثانیه به چهارچوب در، صندلی و گوشه میز می‌کوبیم و گوشی می‌شکنه.,0,Happy
1226,ینا تازه ترند شدن و ما یکی از شرکت‌هایی هستیم که به ایران وارد میکنیم از اسپانیا :)),0,Happy
1227,البته واسه این از واسه ما نیس😂,0,Happy
1228,پیجمونه در اینستاگرام❤️ اینم یه سری از کارامونه.,0,Happy
1229,دلم می‌خواد برم یه جا موهامو کوتاه و رنگ کنم، با ضمانت اونم.,0,Happy
1230,زشت شدم گردنم بگیره، بدون پول اضافه تغییرم بده.,0,Happy
1231,یه بار راشین ۹ سالش بود فکر کنم، رفته بود موهاشو ببافه. کارش که تموم شد، دختره ازش پرسید دوسش داری؟ گفت دوست نداشته باشم چی‌کار می‌کنی؟🫵🏻 مود,0,Happy
1232,من و ایرانسل واقعا رابطه تاکسیکی داریم، هی سقف مصرف منو میبره بالا چون میدونه تا تهشو استفاده میکنم، هر ماه باید بیشتر قبض بدم.,1,Sad
1233,دلم میخواد یه ایستگاه رادیو بزنم آهنگای مشتی پخش کنم فقط، ولی خب همون دکل روی ایستگاهو میان میکنن تو کونم,0,Happy
1234,یه خودنویس شفر از عمّم بلند کردم تا اطلاع ثانوی شادم,0,Happy
1235,واسه کارآموزی رزومه فرستادم کروز، یارو آخر کار میبینه هرچی قطعه 207 داشتن گم شده,0,Happy
1236,گیم تئوری خودش top 3 درسای دانشکدس، ارائه‌ش تقریبا از هرچی تاحالا داشتم بدتره,1,Sad
